"Ens","external_gene_name"
"ENSG00000183044","ABAT"
"ENSG00000144452","ABCA12"
"ENSG00000179869","ABCA13"
"ENSG00000174429","ABRA"
"ENSG00000261846","AADACL2"
"ENSG00000197953","AADACL2"
"ENSG00000100997","ABHD12"
"ENSG00000188984","AADACL3"
"ENSG00000139826","ABHD13"
"ENSG00000204518","AADACL4"
"ENSG00000144827","ABHD10"
"ENSG00000106077","ABHD11"
"ENSG00000268895","A1BG-AS1"
"ENSG00000146109","ABT1"
"ENSG00000292169","ABT1"
"ENSG00000114786","ABHD14A-ACY1"
"ENSG00000143921","ABCG8"
"ENSG00000138075","ABCG5"
"ENSG00000266967","AARSD1"
"ENSG00000154263","ABCA10"
"ENSG00000265544","AA06"
"ENSG00000103591","AAGAB"
"ENSG00000172350","ABCG4"
"ENSG00000160179","ABCG1"
"ENSG00000118777","ABCG2"
"ENSG00000085563","ABCB1"
"ENSG00000124608","AARS2"
"ENSG00000115657","ABCB6"
"ENSG00000100439","ABHD4"
"ENSG00000158201","ABHD3"
"ENSG00000157426","AASDH"
"ENSG00000140526","ABHD2"
"ENSG00000005471","ABCB4"
"ENSG00000004846","ABCB5"
"ENSG00000143994","ABHD1"
"ENSG00000127220","ABHD8"
"ENSG00000163686","ABHD6"
"ENSG00000197150","ABCB8"
"ENSG00000121410","A1BG"
"ENSG00000011198","ABHD5"
"ENSG00000150967","ABCB9"
"ENSG00000291836","AAAS"
"ENSG00000094914","AAAS"
"ENSG00000175164","ABO"
"ENSG00000281879","ABO"
"ENSG00000159842","ABR"
"ENSG00000278741","ABR"
"ENSG00000276016","ABR"
"ENSG00000291057","ABCC6P1"
"ENSG00000129673","AANAT"
"ENSG00000097007","ABL1"
"ENSG00000143322","ABL2"
"ENSG00000175899","A2M"
"ENSG00000165029","ABCA1"
"ENSG00000107331","ABCA2"
"ENSG00000154265","ABCA5"
"ENSG00000154262","ABCA6"
"ENSG00000167972","ABCA3"
"ENSG00000198691","ABCA4"
"ENSG00000154258","ABCA9"
"ENSG00000064687","ABCA7"
"ENSG00000166535","A2ML1"
"ENSG00000141338","ABCA8"
"ENSG00000148584","A1CF"
"ENSG00000168792","ABHD15"
"ENSG00000131969","ABHD12B"
"ENSG00000166016","ABTB2"
"ENSG00000114626","ABTB1"
"ENSG00000293360","ABCA11P"
"ENSG00000115977","AAK1"
"ENSG00000119688","ABCD4"
"ENSG00000173208","ABCD2"
"ENSG00000117528","ABCD3"
"ENSG00000181409","AATK"
"ENSG00000275700","AATF"
"ENSG00000276072","AATF"
"ENSG00000124574","ABCC10"
"ENSG00000121270","ABCC11"
"ENSG00000081760","AACS"
"ENSG00000140798","ABCC12"
"ENSG00000291052","ABCC13"
"ENSG00000224552","ABHD16A"
"ENSG00000204427","ABHD16A"
"ENSG00000206403","ABHD16A"
"ENSG00000235676","ABHD16A"
"ENSG00000231488","ABHD16A"
"ENSG00000230475","ABHD16A"
"ENSG00000236063","ABHD16A"
"ENSG00000291190","A2MP1"
"ENSG00000128274","A4GALT"
"ENSG00000008311","AASS"
"ENSG00000108846","ABCC3"
"ENSG00000125257","ABCC4"
"ENSG00000278183","ABCC1"
"ENSG00000103222","ABCC1"
"ENSG00000023839","ABCC2"
"ENSG00000006071","ABCC8"
"ENSG00000114770","ABCC5"
"ENSG00000091262","ABCC6"
"ENSG00000275331","ABCC6"
"ENSG00000293423","ABCA17P"
"ENSG00000114779","ABHD14B"
"ENSG00000248487","ABHD14A"
"ENSG00000069431","ABCC9"
"ENSG00000073734","ABCB11"
"ENSG00000276582","ABCB11"
"ENSG00000099204","ABLIM1"
"ENSG00000163995","ABLIM2"
"ENSG00000173210","ABLIM3"
"ENSG00000154175","ABI3BP"
"ENSG00000033050","ABCF2"
"ENSG00000127837","AAMP"
"ENSG00000161204","ABCF3"
"ENSG00000149313","AASDHPPT"
"ENSG00000206490","ABCF1"
"ENSG00000236149","ABCF1"
"ENSG00000231129","ABCF1"
"ENSG00000232169","ABCF1"
"ENSG00000225989","ABCF1"
"ENSG00000204574","ABCF1"
"ENSG00000236342","ABCF1"
"ENSG00000109576","AADAT"
"ENSG00000183260","ABHD16B"
"ENSG00000291019","AACSP1"
"ENSG00000135776","ABCB10"
"ENSG00000114771","AADAC"
"ENSG00000138443","ABI2"
"ENSG00000108798","ABI3"
"ENSG00000118017","A4GNT"
"ENSG00000136754","ABI1"
"ENSG00000164163","ABCE1"
